t (s),V (mV)
0,14.4515
1.049,14.4398
2.09,14.433
3.089,14.4261
4.09,14.416
5.09,14.4045
6.09,14.3922
7.09,14.3796
8.09,14.367
9.09,14.3531
10.09,14.3392
11.09,14.3256
12.09,14.3111
13.09,14.297
14.09,14.2826
15.09,14.269
16.09,14.2551
17.09,14.2412
18.09,14.2285
19.09,14.214
20.089,14.2004
21.089,14.1757
22.09,14.1655
23.09,14.1565
24.09,14.1447
25.09,14.1317
26.09,14.1182
27.089,14.1047
28.089,14.091
29.09,14.0792
30.09,14.0656
31.09,14.0533
32.089,14.0391
33.089,14.0279
34.089,14.0151
35.089,14.0036
36.09,13.9919
37.09,13.9802
38.09,13.967
39.089,13.9539
40.089,13.9419
41.09,13.9309
42.09,13.9174
43.09,13.9068
44.089,13.8945
45.089,13.8817
46.089,13.8694
47.089,13.8572
48.089,13.8454
49.089,13.8326
50.09,13.8201
51.09,13.8076
52.09,13.7952
53.089,13.7754
54.09,13.7678
55.09,13.7507
56.09,13.7414
57.09,13.7319
58.09,13.72
59.089,13.7091
60.089,13.6959
61.089,13.6848
62.089,13.6717
63.089,13.6563
64.09,13.6443
65.09,13.6346
66.09,13.6228
67.09,13.6108
68.09,13.5979
69.089,13.5855
70.09,13.5721
71.09,13.5616
72.09,13.5505
73.09,13.5373
74.089,13.5261
75.09,13.5137
76.089,13.501
77.089,13.4895
78.089,13.4775
79.09,13.4663
80.09,13.4542
81.09,13.4415
82.09,13.4285
83.089,13.4166
84.089,13.4046
85.089,13.3933
86.089,13.3792
87.089,13.3683
88.089,13.3548
89.09,13.3425
90.089,13.33
91.09,13.3161
92.09,13.3043
93.09,13.2922
94.09,13.2693
95.089,13.2593
96.089,13.2422
97.09,13.237
98.09,13.2218
99.09,13.2136
100.09,13.2057
101.09,13.199
102.09,13.1875
103.09,13.1765
104.09,13.1643
105.09,13.1537
106.09,13.1429
107.09,13.1322
108.09,13.1209
109.09,13.1111
110.09,13.0988
111.09,13.0885
112.09,13.0762
113.09,13.0675
114.09,13.055
115.09,13.0444
116.09,13.0324
117.089,13.0211
118.089,13.0103
119.089,13.0002
120.089,12.9893
121.09,12.9804
122.09,12.968
123.09,12.9597
124.09,12.947
125.089,12.9363
126.09,12.9276
127.09,12.9159
128.09,12.9042
129.09,12.8952
130.09,12.8846
131.09,12.8727
132.089,12.8613
133.089,12.8519
134.089,12.8419
135.09,12.8319
136.09,12.8217
137.09,12.8119
138.089,12.8009
139.09,12.7909
140.09,12.7808
141.09,12.7691
142.089,12.7586
143.09,12.7491
144.09,12.7381
145.09,12.7285
146.09,12.7179
147.089,12.7077
148.09,12.6963
149.09,12.6864
150.089,12.6755
151.09,12.6649
152.09,12.6543
153.09,12.6441
154.09,12.6344
155.09,12.6242
156.09,12.6133
157.089,12.6027
158.09,12.5935
159.09,12.5833
160.089,12.5739
161.09,12.5619
162.09,12.5527
163.09,12.5421
164.089,12.5323
165.09,12.5222
166.09,12.5099
167.09,12.5008
168.09,12.4906
169.089,12.4797
170.09,12.4684
171.09,12.4556
172.09,12.4473
173.09,12.437
174.09,12.4255
175.09,12.4163
176.09,12.4049
177.09,12.3959
178.09,12.3862
179.09,12.3755
180.089,12.3642
181.09,12.3558
182.09,12.3456
183.089,12.3364
184.09,12.326
185.09,12.3157
186.09,12.3053
187.09,12.2956
188.09,12.2841
189.089,12.2745
190.089,12.2639
191.09,12.2534
192.09,12.2429
193.089,12.235
194.09,12.2248
195.09,12.2146
196.09,12.2049
197.09,12.1954
198.09,12.186
199.09,12.177
200.09,12.1657
201.09,12.1562
202.089,12.1466
203.09,12.1363
204.09,12.127
205.09,12.1169
206.09,12.1075
207.09,12.0989
208.09,12.0894
209.09,12.0799
210.09,12.0696
211.09,12.0598
212.09,12.0503
213.09,12.0411
214.09,12.0306
215.09,12.0219
216.09,12.0131
217.089,12.0037
218.09,11.9936
219.09,11.984
220.09,11.9752
221.09,11.9649
222.089,11.957
223.09,11.9471
224.09,11.9378
225.09,11.9284
226.09,11.9188
227.09,11.9105
228.09,11.9007
229.09,11.8909
230.09,11.8823
231.09,11.8729
232.09,11.8643
233.09,11.855
234.09,11.8448
235.09,11.8358
236.09,11.827
237.09,11.8183
238.089,11.8099
239.09,11.8006
240.09,11.7908
241.09,11.7823
242.09,11.7744
243.09,11.7648
244.09,11.7562
245.089,11.7493
246.09,11.7387
247.09,11.732
248.09,11.7214
249.09,11.7125
250.089,11.7058
251.089,11.6968
252.09,11.6867
253.09,11.6785
254.089,11.6696
255.09,11.6603
256.09,11.6528
257.09,11.6416
258.09,11.6335
259.09,11.6247
260.09,11.6131
261.09,11.6059
262.09,11.5948
263.09,11.5867
264.089,11.58
265.089,11.5698
266.09,11.5595
267.09,11.5507
268.09,11.5426
269.09,11.5321
270.09,11.523
271.09,11.5155
272.089,11.5065
273.089,11.4981
274.09,11.4879
275.09,11.4765
276.09,11.4692
277.09,11.4602
278.09,11.4522
279.09,11.4415
280.09,11.4342
281.09,11.4247
282.089,11.4178
283.09,11.4075
284.09,11.3999
285.09,11.3913
286.089,11.3838
287.09,11.3728
288.09,11.3649
289.09,11.357
290.09,11.3479
291.09,11.3394
292.09,11.3315
293.09,11.3227
294.089,11.314
295.09,11.3034
296.09,11.2942
297.09,11.2874
298.09,11.2776
299.09,11.2694
300.09,11.2607
301.09,11.2517
302.09,11.2438
303.09,11.2343
304.09,11.2253
305.089,11.2171
306.09,11.2088
307.09,11.1993
308.09,11.1915
309.09,11.1816
310.089,11.1709
311.09,11.1637
312.09,11.1548
313.09,11.1444
314.09,11.1345
315.09,11.1236
316.09,11.1161
317.089,11.1066
318.09,11.098
319.09,11.091
320.09,11.0807
321.09,11.0723
322.09,11.0647
323.089,11.0567
324.09,11.0489
325.09,11.0406
326.09,11.0318
327.09,11.0239
328.09,11.0171
329.09,11.0089
330.09,11.002
331.09,10.9962
332.09,10.9878
333.09,10.9803
334.09,10.9724
335.09,10.9655
336.089,10.9587
337.09,10.9496
338.09,10.9411
339.09,10.9317
340.089,10.925
341.09,10.9159
342.09,10.9074
343.09,10.8991
344.09,10.8915
345.09,10.8835
346.09,10.8741
347.09,10.8662
348.09,10.8557
349.089,10.8473
350.09,10.839
351.089,10.8298
352.09,10.8198
353.09,10.8103
354.09,10.8016
355.09,10.7927
356.09,10.7834
357.09,10.7746
358.09,10.7659
359.09,10.757
360.09,10.7476
361.09,10.7381
362.09,10.7312
363.09,10.7217
364.09,10.7142
365.09,10.7059
366.09,10.6986
367.09,10.6897
368.09,10.6808
369.09,10.6738
370.09,10.6643
371.09,10.6573
372.089,10.649
373.09,10.6415
374.09,10.6324
375.09,10.6239
376.089,10.6155
377.089,10.6081
378.089,10.6007
379.089,10.5915
380.088,10.5839
381.089,10.576
382.089,10.5676
383.089,10.56
384.088,10.5516
385.088,10.543
386.088,10.535
387.089,10.5263
388.089,10.5188
389.088,10.5097
390.089,10.5015
391.088,10.4944
392.089,10.4856
393.089,10.4772
394.089,10.4692
395.088,10.4617
396.088,10.4535
397.089,10.4453
398.089,10.4369
399.089,10.4295
400.088,10.4225
401.089,10.4155
402.089,10.4056
403.088,10.3981
404.088,10.3909
405.089,10.3817
406.089,10.3747
407.089,10.3669
408.088,10.358
409.088,10.352
410.088,10.3431
411.088,10.3358
412.089,10.3282
413.088,10.3212
414.089,10.3136
415.088,10.3059
416.088,10.2982
417.089,10.2904
418.088,10.2822
419.089,10.2746
420.089,10.2673
421.089,10.2593
422.088,10.2522
423.088,10.2445
424.088,10.237
425.088,10.2288
426.088,10.2218
427.088,10.2139
428.088,10.2065
429.089,10.1976
430.089,10.1893
431.088,10.1817
432.088,10.1738
433.089,10.1653
434.089,10.1573
435.089,10.1489
436.088,10.1403
437.088,10.1313
438.088,10.122
439.089,10.1133
440.089,10.1036
441.088,10.0949
442.088,10.0857
443.089,10.0776
444.089,10.0678
445.089,10.059
446.089,10.0523
447.088,10.0447
448.088,10.0375
449.089,10.0299
450.088,10.0223
451.089,10.015
452.089,10.0071
453.089,9.9998
454.09,9.9928
455.09,9.9859
456.09,9.9791
457.09,9.972
458.09,9.9648
459.09,9.9577
460.09,9.9507
461.089,9.9429
462.09,9.9355
463.09,9.9284
464.09,9.9213
465.09,9.9133
466.09,9.9052
467.09,9.8986
468.09,9.8909
469.09,9.8835
470.09,9.8747
471.09,9.8684
472.089,9.8602
473.09,9.8538
474.09,9.8458
475.09,9.8374
476.09,9.8281
477.09,9.8219
478.09,9.8144
479.09,9.8062
480.09,9.7985
481.09,9.7917
482.09,9.7843
483.09,9.7761
484.09,9.7685
485.089,9.761
486.09,9.7542
487.09,9.7461
488.09,9.7392
489.089,9.7314
490.089,9.7235
491.09,9.7168
492.09,9.7091
493.089,9.702
494.089,9.6942
495.09,9.6864
496.09,9.6787
497.09,9.6728
498.09,9.6645
499.09,9.6578
500.09,9.6502
501.089,9.6418
502.09,9.635
503.09,9.6255
504.089,9.618
505.089,9.6107
506.09,9.6031
507.09,9.5936
508.09,9.5849
509.09,9.581
510.09,9.5708
511.09,9.562
512.09,9.5567
513.09,9.5485
514.09,9.5395
515.09,9.5321
516.09,9.5239
517.09,9.516
518.09,9.5084
519.09,9.5005
520.09,9.4938
521.09,9.4868
522.09,9.4781
523.09,9.4711
524.089,9.4635
525.09,9.4567
526.09,9.4492
527.09,9.4421
528.09,9.4347
529.09,9.4282
530.09,9.4212
531.089,9.4125
532.09,9.4057
533.09,9.3979
534.09,9.3914
535.09,9.3836
536.09,9.3774
537.09,9.3693
538.09,9.3623
539.09,9.3559
540.09,9.3496
541.09,9.3418
542.09,9.3347
543.09,9.3284
544.09,9.3203
545.089,9.3131
546.089,9.3075
547.09,9.2996
548.09,9.293
549.09,9.2849
550.089,9.2788
551.089,9.2729
552.09,9.2653
553.09,9.2583
554.09,9.2517
555.09,9.2453
556.09,9.2382
557.09,9.2312
558.09,9.224
559.089,9.2177
560.09,9.2109
561.09,9.2024
562.089,9.1978
563.09,9.1896
564.09,9.1838
565.089,9.1776
566.09,9.1725
567.09,9.1642
568.09,9.1588
569.09,9.1519
570.09,9.1453
571.09,9.1381
572.09,9.1327
573.09,9.1269
574.09,9.1188
575.09,9.1109
576.089,9.1041
577.09,9.0976
578.09,9.0902
579.089,9.0831
580.09,9.0758
581.09,9.0693
582.09,9.0622
583.09,9.0545
584.09,9.0491
585.09,9.042
586.09,9.0347
587.089,9.0286
588.09,9.0224
589.09,9.0145
590.09,9.0089
591.09,9.0011
592.09,8.994
593.09,8.9872
594.09,8.9809
595.09,8.9734
596.089,8.9667
597.09,8.9595
598.09,8.9534
599.09,8.9456
600.09,8.9374
601.09,8.9325
602.09,8.9267
603.09,8.919
604.09,8.9149
605.09,8.9075
606.09,8.8997
607.09,8.893
608.09,8.8868
609.09,8.8787
610.089,8.8716
611.089,8.8642
612.089,8.8582
613.09,8.8521
614.09,8.845
615.089,8.8385
616.089,8.8314
617.089,8.8249
618.09,8.8194
619.09,8.8116
620.09,8.805
621.09,8.7977
622.089,8.7911
623.089,8.7839
624.09,8.7779
625.09,8.7711
626.09,8.7633
627.09,8.757
628.09,8.7498
629.09,8.7436
630.09,8.7357
631.09,8.7302
632.09,8.7226
633.09,8.7172
634.09,8.7092
635.09,8.7021
636.089,8.6954
637.09,8.6889
638.09,8.6822
639.09,8.6745
640.09,8.6674
641.089,8.6616
642.09,8.6541
643.09,8.6479
644.09,8.6403
645.09,8.6326
646.09,8.6248
647.09,8.618
648.09,8.6113
649.09,8.6049
650.09,8.5977
651.09,8.5919
652.09,8.5846
653.09,8.579
654.09,8.572
655.09,8.5648
656.09,8.5586
657.09,8.5515
658.09,8.5436
659.09,8.5312
660.09,8.5158
661.09,8.5223
662.09,8.5152
663.09,8.5107
664.09,8.5014
665.09,8.4959
666.09,8.4903
667.089,8.4854
668.089,8.4793
669.09,8.4747
670.089,8.467
671.09,8.4602
672.09,8.4542
673.09,8.4469
674.09,8.4406
675.089,8.4341
676.089,8.4278
677.089,8.4218
678.09,8.4148
679.09,8.4084
680.09,8.4005
681.09,8.3952
682.093,8.3895
683.09,8.3827
684.09,8.3757
685.089,8.369
686.09,8.3613
687.09,8.3558
688.09,8.3485
689.09,8.3419
690.09,8.3355
691.09,8.3285
692.09,8.32
693.089,8.3138
694.09,8.309
695.09,8.3027
696.09,8.297
697.09,8.2904
698.09,8.2841
699.089,8.2778
700.09,8.2712
701.09,8.2649
702.09,8.2582
703.089,8.2534
704.089,8.2464
705.09,8.2407
706.09,8.2343
707.09,8.229
708.09,8.2231
709.09,8.2175
710.09,8.2098
711.09,8.205
712.09,8.1982
713.09,8.1936
714.09,8.1868
715.09,8.1808
716.09,8.175
717.09,8.1695
718.089,8.1624
719.089,8.1554
720.089,8.1501
721.09,8.1447
722.089,8.1395
723.089,8.1336
724.09,8.1269
725.09,8.1219
726.09,8.1163
727.09,8.1103
728.09,8.1038
729.09,8.0987
730.09,8.091
731.09,8.0865
732.11,8.08
733.09,8.0735
734.09,8.0672
735.09,8.063
736.09,8.0551
737.09,8.0503
738.09,8.0435
739.09,8.0372
740.09,8.0307
741.09,8.025
742.09,8.0191
743.09,8.0125
744.09,8.0068
745.09,7.9998
746.09,7.9933
747.09,7.988
748.09,7.9806
749.09,7.9727
750.09,7.9672
751.09,7.9613
752.09,7.9555
753.09,7.9499
754.09,7.9438
755.089,7.9381
756.09,7.9315
757.09,7.9265
758.09,7.9205
759.09,7.9156
760.09,7.9084
761.09,7.9022
762.102,7.9045
763.09,7.8909
764.09,7.885
765.09,7.8808
766.09,7.8733
767.09,7.868
768.09,7.8622
769.09,7.8577
770.09,7.8521
771.089,7.8452
772.089,7.8384
773.09,7.8321
774.09,7.8275
775.09,7.8207
776.09,7.8156
777.09,7.8082
