t (s),V (mV)
0,4.9022
1.051,4.8801
2.101,4.8761
3.103,4.86
4.103,4.8466
5.102,4.8328
6.102,4.819
7.103,4.8051
8.103,4.7895
9.103,4.777
10.102,4.7634
11.103,4.7484
12.103,4.7363
13.103,4.723
14.103,4.7092
15.103,4.6959
16.103,4.6832
17.102,4.6708
18.102,4.6574
19.102,4.6438
20.102,4.6339
21.103,4.6216
22.103,4.6078
23.103,4.5958
24.102,4.5836
25.102,4.5719
26.102,4.5591
27.102,4.5471
28.103,4.5347
29.103,4.5239
30.103,4.5112
31.103,4.5005
32.103,4.4886
33.102,4.4768
34.102,4.4662
35.102,4.4541
36.102,4.4422
37.103,4.4299
38.103,4.4206
39.102,4.4087
40.102,4.3968
41.102,4.3864
42.103,4.3759
43.103,4.3634
44.103,4.352
45.102,4.3412
46.103,4.3286
47.103,4.3179
48.103,4.3065
49.103,4.2964
50.103,4.2852
51.103,4.2745
52.103,4.2643
53.103,4.2531
54.103,4.2419
55.103,4.2308
56.103,4.2213
57.103,4.2101
58.103,4.2005
59.103,4.1897
60.103,4.1799
61.103,4.1678
62.103,4.1533
63.103,4.1427
64.103,4.1285
65.103,4.1143
66.102,4.1145
67.103,4.1081
68.103,4.1004
69.103,4.0917
70.103,4.0816
71.103,4.0703
72.103,4.0611
73.102,4.0505
74.103,4.0399
75.103,4.0311
76.103,4.0212
77.103,4.0122
78.102,4.0008
79.103,3.9913
80.103,3.9817
81.103,3.972
82.103,3.9623
83.103,3.9533
84.103,3.9425
85.103,3.9346
86.103,3.9242
87.103,3.9157
88.102,3.907
89.102,3.8975
90.102,3.8873
91.102,3.8784
92.103,3.8695
93.103,3.8607
94.103,3.8518
95.103,3.8423
96.102,3.8342
97.103,3.8193
98.103,3.8162
99.103,3.807
100.103,3.798
101.103,3.7892
102.102,3.78
103.103,3.7724
104.103,3.7633
105.103,3.7561
106.103,3.7484
107.102,3.7398
108.102,3.7311
109.103,3.7251
110.103,3.7149
111.102,3.7066
112.103,3.6995
113.103,3.6938
114.103,3.685
115.103,3.6789
116.103,3.6712
117.103,3.6633
118.103,3.6549
119.103,3.6461
120.103,3.638
121.103,3.6299
122.103,3.6215
123.103,3.6122
124.103,3.6038
125.103,3.5949
126.103,3.5864
127.103,3.5764
128.103,3.5678
129.103,3.5594
130.103,3.549
131.103,3.5414
132.103,3.5309
133.103,3.5234
134.103,3.5145
135.103,3.5083
136.103,3.4997
137.103,3.4919
138.103,3.4835
139.103,3.4772
140.103,3.4702
141.103,3.4632
142.103,3.4573
143.102,3.4505
144.103,3.4458
145.103,3.44
146.103,3.4325
147.103,3.4247
148.103,3.4173
149.102,3.4103
150.103,3.4034
151.102,3.3965
152.103,3.388
153.103,3.381
154.103,3.3725
155.103,3.3626
156.102,3.3542
157.103,3.3436
158.103,3.3354
159.103,3.3274
160.103,3.3211
161.102,3.313
162.103,3.3055
163.103,3.2994
164.103,3.2912
165.103,3.2849
166.103,3.2796
167.103,3.2742
168.103,3.2686
169.102,3.2631
170.103,3.2572
171.103,3.2487
172.103,3.2415
173.103,3.2337
174.103,3.2249
175.103,3.217
176.103,3.2072
177.103,3.1986
178.103,3.1897
179.103,3.182
180.103,3.1743
181.103,3.1672
182.103,3.1595
183.103,3.1542
184.103,3.1472
185.103,3.1424
186.103,3.1356
187.103,3.1296
188.103,3.1251
189.103,3.1183
190.103,3.1116
191.103,3.1055
192.103,3.0998
193.103,3.0939
194.103,3.0882
195.103,3.0807
196.102,3.0743
197.102,3.0642
198.102,3.0548
199.102,3.0448
200.103,3.0352
201.103,3.0285
202.103,3.0223
203.103,3.0153
204.103,3.0087
205.103,3.0021
206.103,2.9951
207.102,2.9884
208.102,2.9835
209.102,2.9789
210.102,2.9748
211.103,2.9697
212.102,2.9642
213.102,2.9584
214.102,2.9525
215.102,2.9443
216.102,2.9392
217.102,2.9323
218.102,2.9258
219.102,2.9177
220.103,2.91
221.103,2.8984
222.103,2.8906
223.102,2.8846
224.102,2.8799
225.103,2.8725
226.103,2.8667
227.103,2.8617
228.102,2.8563
229.102,2.8517
230.103,2.8479
231.103,2.8443
232.102,2.839
233.103,2.8346
234.103,2.8293
235.103,2.8239
236.103,2.8178
237.103,2.8113
238.103,2.8055
239.103,2.7991
240.103,2.7919
241.102,2.7844
242.103,2.7755
243.103,2.769
244.102,2.7622
245.102,2.756
246.103,2.7494
247.103,2.743
248.103,2.7374
249.103,2.7311
250.102,2.726
251.102,2.7194
252.103,2.7155
253.103,2.7102
254.102,2.7046
255.103,2.7045
256.103,2.6997
257.103,2.6947
258.103,2.6911
259.103,2.6839
260.103,2.6784
261.103,2.6738
262.103,2.6675
263.103,2.6626
264.103,2.6567
265.103,2.651
266.104,2.6428
267.104,2.6357
268.103,2.6296
269.103,2.6212
270.103,2.6147
271.104,2.6084
272.104,2.6024
273.104,2.596
274.104,2.591
275.104,2.586
276.103,2.5797
277.103,2.5734
278.103,2.5677
279.103,2.5615
280.103,2.5569
281.103,2.5515
282.103,2.5466
283.104,2.5399
284.104,2.5351
285.103,2.5343
286.103,2.5291
287.103,2.5253
