t (s),V (mV)
288.103,2.5205
289.103,2.5165
290.103,2.5119
291.103,2.5068
292.103,2.5012
293.104,2.4967
294.103,2.4922
295.103,2.4865
296.103,2.4835
297.104,2.4774
298.103,2.4731
299.103,2.4675
300.103,2.4619
301.103,2.4565
302.103,2.4492
303.104,2.4429
304.103,2.4385
305.103,2.435
306.104,2.4272
307.103,2.4223
308.103,2.4147
309.104,2.409
310.104,2.4036
311.103,2.3996
312.103,2.3942
313.103,2.3885
314.103,2.3835
315.104,2.3779
316.103,2.3744
317.103,2.3676
318.104,2.3617
319.103,2.3571
320.104,2.3519
321.103,2.347
322.103,2.3426
323.103,2.3371
324.103,2.3333
325.104,2.328
326.103,2.3237
327.104,2.319
328.103,2.3142
329.103,2.3092
330.104,2.3047
331.103,2.2987
332.103,2.2946
333.104,2.2897
334.103,2.2846
335.103,2.2802
336.104,2.2768
337.103,2.2719
338.103,2.2669
339.103,2.2635
340.103,2.26
341.104,2.2578
342.103,2.2528
343.104,2.2502
344.103,2.2446
345.103,2.2414
346.104,2.2369
347.104,2.2332
348.103,2.2283
349.103,2.2245
350.104,2.2195
351.104,2.2154
352.103,2.2109
353.103,2.2061
354.104,2.2008
355.103,2.1967
356.103,2.1916
357.104,2.1885
358.104,2.1824
359.103,2.1793
360.104,2.1739
361.103,2.1705
362.104,2.1649
363.103,2.1601
364.104,2.1534
365.103,2.1508
366.104,2.1446
367.103,2.1406
368.103,2.1343
369.104,2.1283
370.103,2.1243
371.104,2.1187
372.103,2.1162
373.104,2.1098
374.103,2.106
375.104,2.1012
376.103,2.0967
377.103,2.0927
378.103,2.0875
379.103,2.0833
380.103,2.0786
381.104,2.0749
382.104,2.0707
383.104,2.0655
384.103,2.0622
385.104,2.059
386.104,2.055
387.103,2.0514
388.103,2.0462
389.103,2.0437
390.104,2.0371
391.104,2.0342
392.103,2.0303
393.103,2.0265
394.104,2.0224
395.104,2.0183
396.104,2.0142
397.103,2.0096
398.103,2.0063
399.103,2.0006
400.103,1.9969
401.103,1.994
402.103,1.9921
403.104,1.9894
404.104,1.9873
405.103,1.9815
406.103,1.9797
407.103,1.9746
408.104,1.9726
409.103,1.9683
410.103,1.9655
411.104,1.9622
412.104,1.9583
413.103,1.9539
414.103,1.9497
415.103,1.9473
416.104,1.9427
417.103,1.9387
418.103,1.9347
419.104,1.9301
420.103,1.9262
421.103,1.9217
422.104,1.9175
423.104,1.9129
