t (s),V (mV)
0,16.7909
2.029,16.7784
4.058,16.7586
6.086,16.7357
8.115,16.7109
10.143,16.6875
12.172,16.6648
14.2,16.6419
15.279,16.6313
16.833,16.614
18.861,16.5923
20.89,16.5707
22.918,16.5475
25.908,16.5171
27.937,16.4957
29.965,16.4732
31.994,16.4526
34.023,16.4302
36.051,16.4069
38.08,16.3845
40.108,16.3631
42.137,16.3418
44.165,16.3225
46.194,16.302
49.184,16.2724
50.263,16.2613
51.817,16.2461
53.845,16.2259
55.874,16.2053
57.902,16.1837
59.931,16.1652
61.96,16.1455
63.988,16.125
66.017,16.1049
68.045,16.0835
70.074,16.0623
73.064,16.0267
75.093,16.0059
77.121,15.9906
79.15,15.971
81.178,15.9526
83.207,15.933
84.286,15.9228
85.84,15.9074
87.868,15.8881
89.897,15.8689
91.925,15.8475
93.954,15.8288
96.944,15.7992
98.973,15.7787
101.001,15.7605
103.03,15.7407
105.059,15.7232
107.087,15.7036
109.116,15.6836
111.144,15.6663
113.173,15.6471
115.201,15.6285
116.281,15.6159
118.82,15.5935
120.848,15.5757
122.877,15.5569
124.905,15.5368
126.934,15.5154
128.963,15.4994
130.991,15.4812
133.02,15.4624
135.048,15.4433
137.077,15.4252
139.106,15.4079
141.134,15.3891
144.124,15.3598
146.153,15.3422
148.181,15.3243
149.26,15.3149
150.814,15.2796
152.843,15.2758
154.871,15.262
156.9,15.2454
158.928,15.2273
160.957,15.2041
162.986,15.1877
165.014,15.1727
168.004,15.146
170.033,15.1276
172.062,15.1088
174.09,15.0908
176.119,15.0716
178.147,15.0528
180.176,15.0343
182.205,15.0174
183.284,15.0081
184.837,14.9939
186.866,14.9753
188.894,14.9562
191.884,14.9297
193.913,14.9113
195.942,14.8935
197.97,14.8756
199.999,14.8588
202.027,14.8413
204.056,14.8233
206.084,14.8063
208.113,14.7895
210.142,14.7731
212.17,14.7555
215.16,14.7304
217.189,14.7137
218.268,14.7048
219.822,14.6916
221.85,14.6748
223.879,14.6573
225.907,14.6403
227.936,14.6177
229.965,14.604
231.993,14.5881
234.022,14.5701
236.05,14.5529
239.041,14.5293
241.069,14.5117
243.098,14.4941
245.127,14.4765
247.155,14.46
249.184,14.442
250.263,14.4332
251.817,14.4203
253.845,14.4036
255.874,14.3872
257.903,14.3699
259.931,14.354
262.921,14.3304
264.95,14.3147
266.979,14.2993
269.007,14.2829
271.036,14.2662
273.065,14.2494
275.093,14.2345
277.122,14.2195
279.151,14.2029
281.179,14.1873
283.208,14.1708
286.198,14.1469
287.277,14.1388
288.831,14.1257
290.859,14.1107
292.888,14.0922
294.916,14.077
296.945,14.0601
298.974,14.0468
301.003,14.0305
303.031,14.0145
305.06,13.9975
307.088,13.9823
310.079,13.9578
312.107,13.9402
314.136,13.9245
316.165,13.9085
318.193,13.8922
319.272,13.8835
320.826,13.8722
322.854,13.8568
324.883,13.8402
326.912,13.823
328.94,13.7997
330.969,13.7894
333.96,13.7699
335.988,13.7535
338.017,13.7369
340.045,13.7212
342.074,13.7038
344.103,13.689
346.131,13.6719
348.16,13.6573
350.189,13.6403
351.268,13.6324
352.821,13.619
354.85,13.6041
357.84,13.5811
359.869,13.563
361.897,13.5488
363.926,13.5343
365.955,13.5202
367.983,13.5034
370.012,13.489
372.041,13.4736
374.069,13.4604
376.098,13.4447
378.127,13.4308
381.117,13.4086
383.145,13.3952
385.174,13.3799
387.203,13.364
388.282,13.3572
389.835,13.3456
391.864,13.3309
393.893,13.3163
395.921,13.3018
397.95,13.2874
399.979,13.2734
402.007,13.2598
404.998,13.2368
407.026,13.2215
409.055,13.207
411.083,13.1922
413.112,13.1766
415.14,13.1618
417.169,13.1477
419.198,13.1336
420.277,13.1265
421.83,13.1153
423.859,13.1005
425.888,13.0861
428.878,13.0658
430.907,13.0506
432.935,13.0357
434.964,13.0215
436.993,13.0081
439.022,12.9925
441.05,12.9774
443.079,12.9639
445.108,12.949
447.136,12.9338
449.165,12.9187
452.155,12.8971
454.184,12.8835
455.263,12.8738
456.817,12.8612
458.846,12.8433
460.874,12.8281
462.903,12.8151
464.932,12.801
466.961,12.7848
468.989,12.7699
471.018,12.7541
473.047,12.7401
476.037,12.719
478.066,12.7037
480.095,12.6896
482.123,12.6744
484.152,12.6594
486.181,12.6441
487.26,12.6369
488.814,12.6253
490.843,12.6096
492.872,12.5936
494.9,12.5808
496.929,12.5661
499.919,12.5454
501.948,12.5317
503.977,12.5159
506.006,12.502
508.034,12.4867
510.063,12.4735
512.092,12.4591
514.121,12.4451
516.149,12.4311
518.178,12.4177
520.207,12.4033
523.197,12.3818
524.276,12.3741
525.83,12.3635
527.858,12.3481
529.887,12.3344
531.916,12.3206
533.945,12.307
535.974,12.2927
538.002,12.2778
540.031,12.2641
542.06,12.2502
544.089,12.2356
547.079,12.2145
549.108,12.1997
551.136,12.1855
553.165,12.1713
555.194,12.1551
556.273,12.14
557.826,12.132
559.855,12.1256
561.884,12.111
563.913,12.0978
565.941,12.0833
567.97,12.0702
570.96,12.0504
572.989,12.0355
575.018,12.0224
577.046,12.0088
579.075,11.9952
581.104,11.9818
583.133,11.968
585.161,11.9533
587.19,11.9413
588.269,11.9342
589.823,11.9241
591.852,11.9113
594.842,11.8923
596.871,11.8787
598.899,11.865
600.928,11.8523
602.957,11.8389
604.986,11.8243
607.014,11.8101
609.043,11.7944
611.072,11.7803
613.101,11.7638
615.129,11.7496
618.12,11.7269
620.149,11.713
622.177,11.6985
624.206,11.6849
625.285,11.6778
626.839,11.6674
628.868,11.6523
630.896,11.6375
632.925,11.623
634.954,11.611
636.983,11.5963
639.011,11.5839
642.002,11.5636
644.03,11.5502
646.059,11.5367
648.088,11.523
650.117,11.5111
652.145,11.4983
654.174,11.4859
656.203,11.4737
657.282,11.4672
658.836,11.4574
660.864,11.4445
662.893,11.432
665.883,11.4153
667.912,11.4037
669.941,11.3917
671.97,11.3786
673.999,11.3658
676.027,11.3534
678.056,11.3395
680.085,11.3276
682.114,11.3138
684.142,11.3021
686.171,11.2884
689.162,11.2696
691.19,11.2564
692.269,11.2502
693.823,11.2407
695.852,11.2272
697.88,11.2127
699.909,11.1996
701.938,11.1886
703.967,11.1758
705.995,11.1615
708.024,11.1477
710.053,11.1359
